Country,Network,MCC,MNC
Netherlands,Vectone Mobile (MVNO),204,6
Netherlands,Teleena Holding B.V.,204,7
Netherlands,KPN,204,8
Netherlands,Lycamobile (MVNO),204,9
Netherlands,Telfort BV,204,12
Netherlands,Ziggo,204,15
Netherlands,T-Mobile (Deutsche Telekom),204,16
Netherlands,UPC (MVNO),204,18
Netherlands,T-Mobile (Deutsche Telekom),204,20
Netherlands,Private Mobility Nederland,204,24
Netherlands Antilles,Telbo,362,78
Netherlands Antilles,Chippie,362,91
New Caledonia,Mobilis,546,1
NEW GUINEA,Digicel,338,0
New Zealand,Vodafone,530,1
New Zealand,Woosh,530,3
New Zealand,Spark,530,5
New Zealand,Skinny (MVNO),530,6
New Zealand,2degrees,530,24
Nicaragua,Claro (América Móvil),710,21
Nicaragua,Movistar (Telefónica),710,30
Nicaragua,CooTel,710,68
Nicaragua,Claro (América Móvil),710,73
Niger,SahelCom (Sonitel),614,1
Niger,Airtel (Bharti Airtel),614,2
Niger,Moov (Etisalat),614,3
Niger,Orange,614,4
Nigeria,Airtel (Bharti Airtel),621,20
Nigeria,Smile Communications Nigeria,621,27
Nigeria,MTN,621,30
Nigeria,Ntel,621,40
Nigeria,Glo Mobile (Globacom),621,50
Nigeria,9mobile,621,60
Norway,Telenor,242,1
Norway,Telia,242,2
Norway,TeliaSonera Norge AS,242,5
Norway,Phonero (MVNO),242,7
Norway,TDC (MVNO),242,8
Norway,Com4 (MVNO),242,9
Norway,Telenor Norge AS,242,12
Norway,ICE Communication Norge AS,242,14
Norway,Jernbaneverket,242,20
Norway,Lycamobile (MVNO),242,23
Oman,Omantel,422,2
Oman,Ooredoo,422,3
Pakistan,Jazz (Mobilink),410,1
Pakistan,Ufone (PTCL),410,3
Pakistan,Zong (China Mobile),410,4
Pakistan,SCO Mobile Ltd,410,5
Pakistan,Telenor,410,6
Pakistan,Jazz (WaridTel),410,7
Pakistan,SCO Mobile,410,8
Palau,PNCC,552,1
Palau,PT Waves,552,2
Palestine,Jawwal (PalTel),425,5
Palestine,Wataniya Mobile,425,6
Panama,Cable & Wireless Panama S.A.,714,1
Panama,Movistar (Telefónica),714,2
Panama,Claro (América Móvil),714,3
Panama,Digicel,714,4
Papua New Guinea,bemobile,537,1
Papua New Guinea,Citifon,537,2
Papua New Guinea,Digicel,537,3
Paraguay,Vox (Hola),744,1
Paraguay,Claro (América Móvil),744,2
Paraguay,Tigo (Millicom),744,4
Paraguay,Personal (Telecom Argentina),744,5
Peru,Movistar (Telefónica),716,6
Peru,Entel,716,7
Peru,Claro (América Móvil),716,10
Peru,Bitel (Viettel Mobile),716,15
Peru,Entel,716,17
Philippines,Globe Telecom,515,2
Philippines,Smart (PLDT),515,3
Philippines,Sun Cellular (PLDT),515,5
Poland,Plus (Polkomtel),260,1
Poland,T-Mobile (Deutsche Telekom),260,2
Poland,Orange (Telekomunikacja Polska),260,3
Poland,Play (P4),260,6
Poland,Netia (MVNO),260,7
Poland,Lycamobile (MVNO),260,9
Poland,Nordisk Polska,260,11
Poland,Cyfrowy Polsat (MVNO),260,12
Poland,Aero2,260,15
Poland,Aero2,260,16
Poland,Aero2,260,17
Poland,Virgin Mobile Polska Sp,260,45
Portugal,Vodafone,268,1
Portugal,NOS,268,3
Portugal,Lycamobile (MVNO),268,4
Portugal,MEO,268,6
Puerto Rico,Claro (América Móvil),330,11
Puerto Rico,Open Mobile,330,12
Qatar,Ooredoo,427,1
Qatar,Vodafone,427,2
Reunion,Orange,647,0
Reunion,Only (Telco OI),647,2
Reunion,Zeop,647,4
Reunion,SFR (Vivendi),647,10
Romania,Vodafone,226,1
Romania,Telekom Romania Mobile Comunications,226,3
Romania,DigiMobil (RCS & RDS),226,5
Romania,Orange,226,10
Romania,Lycamobile (MVNO),226,16
Russia,MTS,250,1
Russia,MegaFon,250,2
Russia,NCC (T2),250,3
Russia,ETK (T2),250,5
Russia,Danycom,250,6
Russia,SMARTS,250,7
Russia,Vainah Telecom,250,8
Russia,Skylink,250,9
Russia,Yota (MVNO),250,11
Russia,Baykalwestcom (T2),250,12
Russia,Lycamobile,250,13
Russia,Utel,250,17
Russia,Tele2,250,20
Russia,TMT LLC,250,27
Russia,LLC Antares,250,28
Russia,K-Telecom,250,32
Russia,Sevtelekom,250,33
Russia,MOTIV,250,35
Russia,Gazprom Telecom,250,41
Russia,MTT,250,42
Russia,Sprint,250,43
Russia,SIM Telecom,250,47
Russia,Globaltel,250,48
Russia,Sberbank Telecom (MVNO),250,50
Russia,KTK Telecom,250,60
Russia,Tinkoff Mobile (MVNO),250,62
Russia,Beeline,250,99
Rwanda,MTN,635,10
Rwanda,Tigo (Millicom),635,13
Rwanda,Airtel (Bharti Airtel),635,14
Saint Kitts and Nevis,FLOW (Cable & Wireless),356,11
Saint Kitts and Nevis,Chippie (UTS),356,70
Saint Lucia,LIME (Cable & Wireless),358,11
Saint Pierre and Miquelon,Ameris (SPM Telecom),308,1
Saint Vincent and the Grenadines,Digicel,360,7
Saint Vincent and the Grenadines,Digicel,360,10
Saint Vincent and the Grenadines,LIME (Cable & Wireless),360,11
Samoa,Samoa,549,0
Samoa,Digicel,549,1
Samoa,BlueSky Communications,549,27
San Marino,San Marino Telecom,292,1
Sao Tomé and Principe,CSTmovel,626,1
Sao Tomé and Principe,Unitel STP,626,2
Satellite,Elsacom,901,4
Satellite,RMSS Network,901,5
Satellite,Maritime Communications Partner (MCP),901,12
Satellite,Global Networks Switzerland AG,901,13
Satellite,SITA GSM Service in Aircraft SITA GSM,901,15
Satellite,EUTEL AB,901,22
Satellite,AT&T Inc.,901,44
Saudi Arabia,STC (Saudi Telecom),420,1
Saudi Arabia,Mobily (Etihad Etisalat),420,3
Saudi Arabia,Zain,420,4
Saudi Arabia,Virgin Mobile (MVNO),420,5
Saudi Arabia,Lebara Mobile,420,6
Senegal,Orange (Sonatel),608,1
Senegal,Tigo (Millicom),608,2
Senegal,Expresso (Sudatel),608,3
Serbia,Telenor,220,1
Serbia,mts (Telekom Srbija),220,3
Serbia,VIP,220,5
Serbia,Vectone Mobile (MVNO),220,9
Serbia,Globaltel (MVNO),220,11
Seychelles,Cable & Wireless,633,1
Seychelles,Airtel (Bharti Airtel),633,10
Sierra Leone,Orange,619,1
Sierra Leone,Africell (Lintel),619,2
Sierra Leone,Africell (Lintel),619,3
Sierra Leone,Africell (Lintel),619,5
Sierra Leone,SierraTel,619,6
Sierra Leone,Qcell,619,7
Sierra Leone,Smart Mobile,619,9
Sierra Leone,Mobitel,619,25
Singapore,SingTel,525,1
Singapore,M1,525,3
Singapore,StarHub,525,5
Singapore,TPG Telecom,525,10
Singapore,Grid Communications,525,12
Sint Maarten,Telcell,362,51
Slovakia,Orange,231,1
Slovakia,Telekom (Slovak Telekom),231,2
Slovakia,4ka (Swan Mobile),231,3
Slovakia,O2,231,6
Slovenia,A1,293,40
Slovenia,Mobitel (Telekom Slovenije),293,41
Slovenia,T-2,293,64
Slovenia,Telemach (Tusmobil),293,70
Solomon Islands,Breeze (Our Telekom),540,1
Solomon Islands,BMobile (Solomon Islands) Ltd,540,2
Somalia,Telesom,637,1
Somalia,Somafone,637,4
Somalia,NationLink Telecom,637,10
Somalia,Hormuud Telecom,637,25
Somalia,Golis Telecom,637,30
Somalia,Hormuud Telecom,637,50
Somalia,NationLink Telecom,637,60
Somalia,Somtel,637,71
Somalia,Telcom,637,82
South Africa,Vodacom,655,1
South Africa,Telkom Mobile,655,2
South Africa,Cell C,655,7
South Africa,MTN,655,10
South Korea,KT,450,2
South Korea,SK Telecom,450,5
South Korea,LG Uplus,450,6
South Korea,olleh (KT),450,8
South Sudan,MTN,659,2
South Sudan,Gemtel,659,3
South Sudan,Vivacell,659,4
South Sudan,Zain,659,6
Spain,Vodafone,214,1
Spain,Orange,214,3
Spain,Yoigo (Xfera Moviles SA),214,4
Spain,Movistar (Telefónica) (MVNO),214,5
Spain,Vodafone (MVNO),214,6
Spain,Movistar (Telefónica),214,7
Spain,Euskaltel (MVNO),214,8
Spain,TeleCable (MVNO),214,16
Spain,Móbil R (MVNO),214,17
Spain,Simyo (MVNO),214,19
Spain,JazzTel (MVNO),214,21
Spain,DigiMobil (MVNO),214,22
Spain,Eroski (MVNO),214,24
Spain,Lycamobile (MVNO),214,25
Spain,Truphone (MVNO),214,27
Spain,Tuenti (MVNO),214,32
Sri Lanka,Mobitel (Sri Lanka Telecom),413,1
Sri Lanka,Dialog (Axiata),413,2
Sri Lanka,Etisalat,413,3
Sri Lanka,Airtel (Bharti Airtel),413,5
Sri Lanka,Hutch (Hutchison),413,8
Sudan,Zain,634,1
Sudan,MTN,634,2
Sudan,Canar Telecom,634,5
Sudan,Sudani One (Sudatel),634,7
Suriname,Telesur,746,2
Suriname,Digicel,746,3
Swaziland,SPTC,653,1
Swaziland,Swazi Mobile Limited,653,2
Swaziland,Swazi MTN,653,10
Sweden,Telia (TeliaSonera),240,1
Sweden,3 (Hutchison),240,2
Sweden,Telenor,240,6
Sweden,Tele2,240,7
Sweden,Telenor,240,8
Sweden,Spring Mobil (Tele2 Sverige AB),240,10
Sweden,Lycamobile (MVNO),240,12
Sweden,Tele2 Business AB,240,14
Sweden,42 Telecom AB,240,16
Sweden,Gotanet (MVNO),240,17
Sweden,Vectone Mobile (MVNO),240,19
Switzerland,Swisscom,228,1
Switzerland,Sunrise,228,2
Switzerland,Salt Mobile SA,228,3
Switzerland,Tele4u,228,8
Switzerland,Relario AG (MVNO),228,51
Switzerland,UPC Cablecom (MVNO),228,53
Switzerland,Lycamobile (MVNO),228,54
Switzerland,Beeone (MVNO),228,58
Syria,Syriatel,417,1
Syria,MTN,417,2
Taiwan,Far EasTone,466,1
Taiwan,Asia Pacific Telecom (APTG),466,5
Taiwan,Far EasTone,466,88
Taiwan,T Star,466,89
Taiwan,Chunghwa Telecom,466,92
Taiwan,Taiwan Mobile,466,97
Tajikistan,JV Somoncom (Tcell),436,1
Tajikistan,Indigo Tajikistan (Tcell),436,2
Tajikistan,TT Mobile (MegaFon),436,3
Tajikistan,Babilon-Mobile,436,4
Tajikistan,Tacom (Beeline),436,5
Tajikistan,T-Mobile,436,6
Tanzania,Tigo (Millicom),640,2
Tanzania,Zantel (Etisalat),640,3
Tanzania,Vodacom,640,4
Tanzania,Airtel (Bharti Airtel),640,5
Tanzania,TTCL Mobile,640,7
Tanzania,Smart,640,8
Tanzania,Halotel,640,9
Thailand,my (CAT Telecom),520,0
Thailand,AIS,520,3
Thailand,True Move (True Corporation),520,4
Thailand,DTAC TriNet,520,5
Thailand,TOT Mobile,520,15
Thailand,DTAC,520,18
Thailand,True Move (True Corporation),520,99
Timor-Leste,Telkomcel,514,1
Timor-Leste,Timor Telecom,514,2
Timor-Leste,Telemor,514,3
Togo,Togo Cell,615,1
Togo,Moov Togo,615,3
Tonga,U-Call (Tonga Telecom),539,1
Tonga,Shoreline Communication,539,43
Tonga,Digicel,539,88
Trinidad and Tobago,bmobile (TSTT),374,12
Trinidad and Tobago,Digicel,374,13
Tunisia,Orange,605,1
Tunisia,Tunicell (Tunisie Telecom),605,2
Tunisia,Ooredoo TN,605,3
Tunisia,Lycamobile,605,6
Turkey,Turkcell,286,1
Turkey,Vodafone,286,2
Turkey,Türk Telekom,286,3
Turkey,KKTCell,286,99
Turkmenistan,TM-Cell (Altyn Asyr),438,2
Turks and Caicos Islands,Digicel,338,50
Turks and Caicos Islands,FLOW (Cable & Wireless),376,35
Tuvalu,TTC (Tuvalu Telecom),553,1
Uganda,Airtel (Bharti Airtel),641,1
Uganda,Vodafone (Afrimax),641,6
Uganda,MTN,641,10
Uganda,UT Mobile (Uganda Telecom),641,11
Uganda,Africell,641,14
Uganda,Smart (Suretelecom Uganda),641,18
Uganda,Airtel (Bharti Airtel),641,22
Uganda,Smile,641,33
Uganda,K2 (MVNO),641,44
Ukraine,Vodafone (PRJSC VF Ukraine),255,1
Ukraine,Kyivstar,255,2
Ukraine,Kyivstar JSC (Kyivstar),255,3
Ukraine,Intertelecom LLC,255,4
Ukraine,Lifecell,255,6
Ukraine,Trimob LLC,255,7
Ukraine,PEOPLEnet,255,21
Ukraine,Phoenix,255,99
United Arab Emirates,Etisalat,424,2
United Arab Emirates,du,424,3
United Kingdom,BT,234,0
United Kingdom,Vectone Mobile (MVNO),234,1
United Kingdom,Tismi BV,234,9
United Kingdom,O2 (Telefónica),234,10
United Kingdom,Vodafone,234,15
United Kingdom,Cloud9 (MVNO),234,18
United Kingdom,3 (Hutchison),234,20
United Kingdom,Greenfone (MVNO),234,24
United Kingdom,Lycamobile (MVNO),234,26
United Kingdom,T-Mobile UK (EE),234,30
United Kingdom,Orange (EE),234,33
United Kingdom,Virgin Mobile,234,38
United Kingdom,Sky UK Limited,234,57
United Kingdom,Lleida,234,99
United States,Verizon Wireless,310,0
United States,Verizon Wireless,310,1
United States,Union Wireless,310,2
United States,AT&T Mobility,310,3
United States,AT&T Mobility,310,4
United States,Consolidated Telcom,310,6
United States,AT&T Mobility,310,7
United States,Corr Wireless (Merged Q1 2010),310,8
United States,Cricket Communications (Leap Wireless),310,9
United States,Plateau Wireless,310,10
United States,Sprint (SoftBank),310,12
United States,AT&T Mobility,310,15
United States,T-Mobile (Deutsche Telekom),310,16
United States,T-Mobile (Deutsche Telekom),310,17
United States,West Central Wireless,310,18
United States,Alaska Communications,310,19
United States,T-Mobile (Deutsche Telekom),310,26
United States,Big Sky Mobile (iSmart Mobile),310,30
United States,T-Mobile,310,31
United States,WestLink Communications (Pioneer Communi,310,34
United States,AT&T Mobility,310,38
United States,Cellular One (TX-11),310,39
United States,AT&T Mobility,310,41
United States,Cincinnati Bell Wireless,310,42
United States,Alaska Communications,310,43
United States,AT&T Mobility,310,44
United States,Viaero Wireless,310,45
United States,US Cellular (TDS),310,46
United States,T-Mobile (Deutsche Telekom),310,49
United States,Alltel Wireless (ATN),310,50
United States,Cellcom (Nsight),310,51
United States,VeriSign (Transactions Network Services),310,52
United States,T-Mobile (Deutsche Telekom),310,53
United States,Oklahoma Western Telephone Company,310,54
United States,AT&T Mobility,310,56
United States,AT&T Mobility,310,57
United States,T-Mobile (Deutsche Telekom),310,58
United States,Alltel Wireless (ATN),310,59
United States,Epic Touch,310,61
United States,Cellcom (Nsight),310,62
United States,AmeriLink PCS,310,63
United States,AirFire Mobile (Airadigm Communications),310,64
United States,Jasper,310,65
United States,T-Mobile (Deutsche Telekom),310,66
United States,AT&T Mobility,310,67
United States,AT&T Mobility,310,68
United States,Immix Wireless,310,69
United States,U.S. Cellular,310,73
United States,Convey,310,74
United States,PTCI (Panhandle Telephone Cooperative),310,76
United States,T-Mobile (Deutsche Telekom),310,77
United States,Airlink PCS,310,78
United States,Pinpoint Communications,310,79
United States,T-Mobile (Deutsche Telekom),310,80
United States,Caprock,310,83
United States,telna Mobile,310,84
United States,Aeris,310,85
United States,Pace (Kaplan Telephone Company),310,87
United States,DTC Wireless,310,88
United States,Verizon Wireless,310,89
United States,Mid-Rivers Wireless,310,90
United States,Cellcom (Nsight),310,91
United States,Iris Wireless LLC,310,94
United States,AT&T Mobility,310,95
United States,Plateau Wireless,310,96
United States,AT&T Mobility,310,98
United States,AT&T Mobility,310,99
United States,Mid-Tex Cellular,311,0
United States,Chariton Valley Telephone Company,311,1
United States,Chariton Valley Telephone Company,311,2
United States,Indigo Wireless,311,3
United States,Commnet Wireless (ATN),311,4
United States,Wikes Cellular,311,5
United States,AT&T Mobility,311,6
United States,AT&T Mobility,311,7
United States,Pine Cellular,311,8
United States,Long Lines Wireless,311,9
United States,High Plains Wireless,311,10
United States,CLEAR (Clearwire),311,11
United States,Choise Phone,311,12
United States,AT&T Mobility,311,13
United States,Sprocket Wireless (Cross Communications),311,14
United States,Wikes Cellular,311,15
United States,AT&T Mobility,311,16
United States,AT&T Mobility,311,17
United States,AT&T Mobility,311,18
United States,Cellular One (Cellular Properties),311,19
United States,Emery Telecom,311,21
United States,US Cellular (TDS),311,22
United States,C Spire Wireless (Telapex),311,23
United States,Wave Runner Llc,311,25
United States,AT&T Mobility,311,26
United States,Leaco Wireless,311,31
United States,Bug Tussel Wireless (Hilbert Communicati,311,33
United States,Stelera Wireless,311,36
United States,GCI,311,37
United States,Verizon Wireless,311,48
United States,OTZ Cellular,311,56
United States,T-Mobile (Deutsche Telekom),311,66
United States,Bluegrass Wireless LLC,311,81
United States,Big River Broadband,311,97
United States,Nextel,316,1
United States,Nextel Communications Inc.,316,10
Uruguay,Antel,748,1
Uruguay,Movistar (Telefónica),748,7
Uruguay,Claro (América Móvil),748,10
Uzbekistan,Beeline (Unitel LLC),434,4
Uzbekistan,Ucell (Coscom),434,5
Uzbekistan,Perfectum Mobile,434,6
Uzbekistan,UMS,434,7
Uzbekistan,UzMobile,434,8
Vanuatu,Smile (Telecom Vanuatu),541,1
Vanuatu,Digicel,541,5
Venezuela,Digitel,734,2
Venezuela,DirecTV,734,3
Venezuela,Movistar (Telefónica),734,4
Venezuela,Movilnet,734,6
Vietnam,MobiFone,452,1
Vietnam,Vinaphone (VNPT),452,2
Vietnam,Viettel Mobile,452,4
Vietnam,Vietnamobile (Hanoi Telecom),452,5
Vietnam,Gmobile (GTEL Mobile),452,7
Wallis and Futuna,Manuia,543,1
WESTERN SAMOA,SAMOA TEL,338,27
Yemen,Sabafon,421,1
Yemen,MTN,421,2
Yemen,Yemen Mobile (CDMA),421,3
Yemen,Y,421,4
Zambia,Airtel (Bharti Airtel),645,1
Zambia,MTN,645,2
Zambia,Zamtel,645,3
Zimbabwe,NetOne,648,1
Zimbabwe,Telecel,648,3
Zimbabwe,Econet Wireless,648,4
